,ticker,amount,date,Unnamed: 3
0,AAPL,4.62,13/11/20,
1,ME8U.SI,122.8,1/12/20,
2,MSFT,9.05,11/12/20,
3,C2PU.SI,70.8,11/12/20,
4,D05.SI,126.0,29/12/20,
5,ARKG,56.37,4/1/21,
6,ARKK,108.14,4/1/21,
7,ARKW,39.48,4/1/21,
8,ARKQ,27.02,4/1/21,
9,ARKF,6.24,4/1/21,
10,ABF,14.32,1/2/2021,
11,SPY,20.05,2/2/21,
12,AAPL,4.62,16/2/21,
13,C2PU.SI,71.4,26/2/21,
14,AJBU.SI,134.26,8/3/21,
15,ME8U.SI,164.0,8/3/21,
16,SOXX,9.07,31/3/21,
17,SOXX,2.07,1/4/21,
18,BABA,-1.87,13/4/21,
19,QQQ,2.21,30/4/21,
20,D05.SI,126.0,24/5/21,
21,SPY,15.4,3/5/21,
22,C2PU.SI,71.4,31/5/21,
23,ME8U.SI,165.0,8/6/2021,
24,SOXX,40.15,16/6/2021,
25,MSFT,9.05,11/6/2021,
26,D05.SI,126.0,25/6/2021,
27,ME8U.SI,110.5,28/6/2021,
28,ABF,11.84,19/7/2021,
29,1398.HK,1439.6,29/7/2021,
30,SPY,16.91,2/8/2021,
31,D05.SI,231.0,27/8/2021,
32,C2PU.SI,81.12,1/9/2021,
33,ME8U.SI,57.0,4/9/2021,
34,AJBU.SI,206.87,6/9/2021,
35,M44U.SI,64.83,8/9/2021,
36,C38U.SI,103.6,10/9/2021,
37,1299.HK,76.0,21/9/2021,
38,SOXX,101.97,30/9/2021,
39,AJBU.SI,59.68,21/10/2021,
40,2318.HK,1585.21,28/10/2021,
41,SPY,17.71,5/11/2021,
42,AAPL,19.36,11/11/2021,
43,D05.SI,231.0,27/11/2021,
44,J69U.SI,164.4,29/11/2021,
45,ME8U.SI,173.5,4/12/2021,
46,C2PU.SI,113.92,8/12/2021,
47,MSFT,27.9,9/12/2021,
48,M44U.SI,108.65,14/12/2021,
49,SOXX,76.84,17/12/2021,
50,NVDA,2.96,23/12/2021,
51,ARKG,58.51,31/12/2021,
52,ARKQ,58.97,31/12/2021,
53,ARKW,152.45,31/12/2021,
54,PRNT,0.13,31/12/2021,
55,QQQ,10.32,31/12/2021,
56,ARKK,83.73,31/12/2021,
57,ARKG,21.95,31/12/2021,
58,ARKQ,28.38,7/1/2022,
59,SOXX,13.6,13/1/2022,
60,M44U.SI,87.66,12/1/2022,
61,ABF,13.01,17/01/2022,
62,C38U.SI,145.5,28/01/2022,
63,SPY,52.37,31/01/2022,
64,AAPL,22.22,10/02/2022,
65,C2PU.SI,114.24,28/02/2022,
66,AJBU.SI,182.32,10/03/2022,
67,MSFT,32.24,10/03/2022,
68,C38U.SI,18.5,15/03/2022,
69,ME8U.SI,244.3,15/03/2022,
70,M44U.SI,57.92,22/03/2022,
71,NVDA,2.96,24/3/2022,
72,XLV,5.12,24/3/2022,
73,SOXX,77.02,30/3/2022,
74,BABA,-1.82,13/4/2022,ADR
75,EDU,-10.0,22/4/2022,ADR
76,D05.SI,252.0,22/04/2022,
77,QQQ,13.44,29/4/2022,
78,SPY,49.18,29/4/2022,
79,AAPL,23.23,15/5/2022,
80,D05.SI,252.0,25/5/2022,
81,J69U.SI,220.9,30/5/2022,
82,700,800.0,6/6/2022,
83,9618.HK,11.97,8/6/2022,
84,MSFT,40.92,9/6/2022,
85,1299.HK,864.0,10/6/2022,
86,ME8U.SI,244.3,15/6/2022,
87,SOXX,55.26,15/6/2022,
88,2318.HK,3606.8,20/6/2022,
89,M44U.SI,181.44,21/6/2022,
90,XLV,12.61,24/6/2022,
91,NVDA,2.96,1/7/2022,
92,1398.HK,5834.71,27/7/2022,
93,QQQ,21.62,29/7/2022,
94,SPY,70.96,29/7/2022,
95,3988.HK,2071.29,10/8/2022,
96,AAPL,26.45,11/8/2022,
97,D05.SI,252.0,26/8/2022,
98,MSFT,40.92,8/9/2022,
99,AJBU.SI,313.04,9/9/2022,
100,C38U.SI,261.0,9/9/2022,
101,M44U.SI,204.12,9/9/2022,
102,ME8U.SI,244.3,9/9/2022,
103,C2PU.SI,261.22,12/9/2022,
104,XLV,12.65,22/9/2022,
105,NVDA,2.96,29/9/2022,
106,1299.HK,322.24,29/9/2022,
107,SOXX,158.56,30/9/2022,
108,2318.HK,2655.27,20/10/2022,
109,QQQ,21.26,31/10/2022,
110,SPY,71.84,31/10/2022,
